Country,Scholarship,2023-2024 Applications,2023-2024 Awards,2024-2025 Applications,2024-2025 Awards,2025-2026 Applications,2025-2026 Awards
Australia,Fulbright Anne Wexler Scholarship in Public Policy,14,1,38,2,56,*
Australia,Fulbright Future Scholarship,39,*,0,*,0,*
Australia,Open Study/Research Award,55,2,83,11,87,*
Australia,"Western Sydney University Award in the Arts, Environment, & Public Health",7,1,13,1,14,*
Cambodia,Open Study/Research Award,8,3,10,4,2,*
Cambodia,English Teaching Assistant Award,20,6,23,7,22,*
Indonesia,Open Study/Research Award,23,10,14,12,31,*
Indonesia,English Teaching Assistant Award,37,12,20,13,65,*
Japan,Open Study/Research Award for Graduate Students,24,11,33,10,30,*
Japan,Open Study/Research Award for Graduating Seniors,42,8,43,8,61,*
Kiribati,Open Study/Research Award,0,*,0,*,0,*
Laos,Open Study/Research Award,3,1,4,1,2,*
Laos,English Teaching Assistant Award,14,6,25,12,33,*
Malaysia,Fulbright-Fogarty Fellowships in Public Health,0,*,0,*,2,*
Malaysia,Open Study/Research Award,11,6,12,5,11,*
Mongolia,Open Study/Research Award,4,2,3,2,3,*
Mongolia,English Teaching Assistant Award,9,8,19,9,28,*
Nauru,Open Study-Research,0,*,0,*,0,*
New Zealand,Open Study/Research Award,77,8,68,6,84,*
Papua New Guinea,Open ETA,0,2,4,2,12,*
Papua New Guinea,Open Study/Research Award,1,1,2,2,0,*
Philippines,Open Study/Research Award,25,9,23,8,39,*
Samoa,Open Study/Research Award,2,*,2,*,2,*
Singapore,Fulbright Urban Planning & Sustainable Design Award,11,1,0,*,0,*
Singapore,Open Study/Research Award,14,2,18,2,26,*
Solomon Islands,Open Study/Research Award,0,*,0,*,0,*
South Korea,Korean Studies Graduate Degree Award,8,1,13,1,15,*
South Korea,Open ETA,261,83,261,90,323,*
South Korea,Open Study/Research Award,29,13,27,9,81,*
South Korea,U.S.-Korea Presidential STEM Initiative Award,0,*,25,8,31,*
Taiwan,Master's Degree Program Award: National Taiwan Normal University Award in International Human Resource Development (MBA),2,1,9,*,8,*
Taiwan,Master's Degree Program Awards: National Cheng Kung University Award in History,2,2,1,*,1,*
Taiwan,Master’s Degree Program Award: Fu Jen Catholic University Award in Brand and Fashion Management,5,1,4,*,5,*
Taiwan,Master’s Degree Program Award: National Chengchi University Award In Diplomacy (English Medium Instruction),7,2,10,*,0,*
Taiwan,Master’s Degree Program Award: National Dong Hwa University Award in Ethnic Relations and Cultures,3,2,4,1,5,*
Taiwan,Master’s Degree Program Award: National Tsing Hua University Award in Austronesian Studies,3,1,2,1,4,*
Taiwan,Master’s Degree Program Award: National Yang Ming Chiao Tung University Award In Semiconductor Technology,0,*,2,1,9,*
Taiwan,Master’s Degree Program Awards: China Medical University Award In Chinese Medicine,1,*,6,2,1,*
Taiwan,Master’s Degree Program Awards: Fulbright Graduate Studies Award in Teaching Chinese As a Second Language,0,*,0,*,6,*
Taiwan,Master’s Degree Program Awards: National Chengchi University Award In Diplomacy (Chinese Medium Instruction),1,*,3,1,10,*
Taiwan,Master’s Degree Program Awards: National Kaohsiung Normal University Award in Teaching Chinese as a Second/Foreign Language,1,1,0,*,0,*
Taiwan,Master’s Degree Program Awards: National Taiwan Normal University Award in Teaching Chinese as a Second Language,0,*,2,1,0,*
Taiwan,Master’s Degree Program Awards: National Taiwan Normal University Award in Translation and Interpretation,1,*,6,1,3,*
Taiwan,Master’s Degree Program Awards: National Tsing Hua University Award in Chinese Language and Culture (Division of International Sinology),0,*,4,*,4,*
Taiwan,"Master’s Degree Program Awards: Taipei Medical University Awards in Mind, Brain, and Consciousness",12,2,19,2,18,*
Taiwan,Master’s Degree Program: National Taiwan University Award in Biodiversity,0,*,0,*,10,*
Taiwan,Master’s Degree Program: National Tsing Hua University Award in Political Economy,0,*,17,1,18,*
Taiwan,National Cheng Kung University Master’s Degree Program Award in Creative Industries Design,2,*,6,1,9,*
Taiwan,National Cheng Kung University Master’s Degree Program Award in Energy Engineering,3,2,4,*,0,*
Taiwan,National Chengchi University Master’s Degree Program Award in Asia-Pacific Studies,18,3,15,2,25,*
Taiwan,National Chengchi University Master’s Degree Program Award in International Communication Studies,6,1,5,1,10,*
Taiwan,National Taiwan University Master’s Degree Program Award in Agricultural Economics,4,2,4,*,0,*
Taiwan,National Taiwan University Master’s Degree Program Award in Global Health,19,2,27,3,33,*
Taiwan,Open Study/Research Award,20,4,19,4,29,*
Taiwan,English Teaching Assistant Award,514,185,582,189,675,*
Taiwan,Fulbright Debate Coach/Trainer Award,14,4,17,2,20,*
Thailand,Fulbright-Fogarty Fellowships in Public Health,0,*,0,*,7,*
Thailand,Open Study/Research Award,15,2,15,2,19,*
Thailand,English Teaching Assistant Award,71,21,89,22,132,*
Timor-Leste,English Teaching Assistant Award,5,4,13,5,17,*
Tonga,Open Study/Research Award,0,*,2,1,2,*
Tuvalu,Open Study/Research Award,1,1,2,1,0,*
Vanuatu,Open Study/Research Award,1,1,0,*,2,*
Vietnam,Fulbright-Fogarty Fellowships in Public Health,1,1,3,*,0,*
Vietnam,Open Study/Research Award,20,6,27,5,23,*
Vietnam,English Teaching Assistant Award,73,25,96,24,113,*
Albania,English Teaching Assistant Award,18,2,15,1,19,*
Andorra,English Teaching Assistant Award,25,4,20,6,30,*
Armenia,Open Study/Research Award,5,2,1,*,6,*
Armenia,English Teaching Assistant Award,12,3,20,5,27,*
Austria,Fulbright Combined Award,18,5,17,9,17,*
Austria,Fulbright Community-Based Combined Award,10,7,8,5,9,*
Austria,Fulbright-Austrian Marshall Plan Foundation Award for Graduate Studies and PhD Research in Science and Technology,1,5,6,5,6,*
Austria,Fulbright-Diplomatic Academy Student Award,0,*,0,1,5,*
Austria,Fulbright-IFK Junior Fellowship,2,1,2,1,1,*
Austria,Open Study/Research Award,8,4,12,5,9,*
Belarus,English Teaching Assistant Award,1,*,0,*,0,*
Belgium,Fulbright/Ghent University Award,5,1,17,3,14,*
Belgium,Fulbright/University of Antwerp Award,1,1,2,1,2,*
Belgium,Open Study/Research Award,30,7,27,5,44,*
Belgium,English Teaching Assistant Award,83,10,62,9,71,*
Bosnia & Herzegovina,Open Study/Research Award,2,2,10,1,7,*
Bosnia & Herzegovina,English Teaching Assistant Award,10,5,11,2,15,*
Bulgaria,Fulbright Bulgaria-Greece Joint Research Award,4,*,3,2,2,*
Bulgaria,Fulbright Bulgaria-Romania Joint Research Award,1,1,3,*,0,*
Bulgaria,Fulbright Study/Research Award in Archeology/History,3,2,1,*,8,*
Bulgaria,Open Study/Research Award,6,3,13,6,11,*
Bulgaria,Fulbright/America for Bulgaria Foundation English Teaching Assistant Award,80,30,107,26,106,*
Croatia,Open Study/Research Award,8,2,5,1,7,*
Croatia,English Teaching Assistant Award,12,1,10,1,15,*
Cyprus,Open Study/Research Award,4,1,6,1,3,*
Cyprus,English Teaching Assistant Award,27,3,25,3,10,*
Czech Republic,Open Study/Research Award,11,4,17,3,15,*
Czech Republic,English Teaching Assistant Award,109,36,130,28,192,*
Denmark,Open Study/Research Award,48,11,49,11,76,*
Estonia,Open Study/Research Award,5,2,12,2,12,*
Estonia,English Teaching Assistant Award,19,4,24,5,22,*
European Union,Open Study/Research Award,11,6,36,4,33,*
Finland,Finland-University of Turku Graduate Award,4,1,6,1,8,*
Finland,Fulbright-Aalto University Graduate Award,12,1,26,2,21,*
Finland,Fulbright-EDUFI Fellowship,3,*,0,*,0,*
Finland,Fulbright-LUT University Graduate Award,7,2,7,4,14,*
Finland,Fulbright-Tampere University Graduate Award,9,1,12,2,5,*
Finland,Fulbright-University of Helsinki Graduate Award,19,1,19,1,26,*
Finland,Fulbright-University of Jyväskylä Graduate Award,5,1,2,1,5,*
Finland,Open Study/Research Award,20,2,10,*,7,*
France,Fulbright-CY Cergy Paris University Award,9,2,8,3,16,*
France,Fulbright-Harriet Hale Woolley Award in the Arts,12,3,13,3,20,*
France,Fulbright-Université Grenoble Alpes Award,0,*,36,4,33,*
France,Fulbright-Université Paris-Saclay Doctoral Research Award,3,*,4,4,0,*
France,Fulbright-University of Bordeaux Doctoral Research Award,2,2,1,*,4,*
France,Fulbright/Ecole Normale Superieure (ENS) de Rennes Award,5,1,2,5,6,*
France,Fulbright/Ecole Normale Superieure (ENS) Paris-Saclay Award,3,2,4,*,12,*
France,Open Study/Research Award,89,23,99,18,137,*
France,Fulbright/French Government English Teaching Assistant Award,114,15,144,15,164,*
Georgia,Open Study/Research Award,16,2,11,3,6,*
Georgia,English Teaching Assistant Award,32,6,24,5,30,*
Germany,Open Study/Research Award,215,88,278,86,311,*
Germany,Young Professional Journalist Program,7,4,11,5,7,*
Germany,English Teaching Assistant Award,249,132,224,136,254,*
Greece,Fulbright Greece-Turkey Joint Research Award,5,1,9,1,11,*
Greece,Fulbright/Graduate Studies at Greek State Universities Award,0,*,17,2,13,*
Greece,Fulbright/IKY Ph.D. Research Award,0,*,7,4,2,*
Greece,Open Study/Research Award,24,6,35,3,30,*
Greece,Fulbright/HAEF English Teaching Assistant Award,203,16,179,14,188,*
Hungary,Fulbright/Budapest Semesters in Mathematics-Rényi Institute,6,2,2,*,10,*
Hungary,Fulbright/Liszt Ferenc Academy of Music Award,5,2,5,1,4,*
Hungary,Open Study/Research Award,12,5,27,15,21,*
Hungary,English Teaching Assistant Award,6,3,8,1,7,*
Hungary,Fulbright English Teaching Assistant Award-Roma Student Initiative,4,1,8,1,9,*
Iceland,Fulbright Research in Seaweed Processing Award,1,*,0,*,0,*
Iceland,Fulbright/Icelandic Ministry of Education and Culture Award,1,*,0,*,5,*
Iceland,Fulbright/National Science Foundation Arctic Research Award,3,4,4,4,6,*
Iceland,Open Study/Research Award,35,6,28,5,32,*
Ireland,Fulbright-Frederick and Anna Douglass Award,13,2,10,2,0,*
Ireland,Fulbright/Dublin City University Taught Master's Program Award,15,2,21,1,20,*
Ireland,Fulbright/Hugh Lane Gallery Curatorial Award,5,1,2,1,3,*
Ireland,"Fulbright/Masters of Science in Public Health, University of Limerick Award",28,1,42,1,0,*
Ireland,Fulbright/Peter Real Analog Devices Bernal Award,1,*,0,*,0,*
